ImageId,Label
1,3
2,3
3,9
4,2
5,8
6,7
7,8
8,3
9,9
10,3
11,5
12,4
13,0
14,8
15,0
16,5
17,3
18,1
19,4
20,8
21,9
22,1
23,1
24,5
25,7
26,1
27,0
28,4
29,4
30,7
31,6
32,3
33,4
34,6
35,6
36,2
37,5
38,3
39,4
40,8
41,4
42,4
43,4
44,6
45,8
46,4
47,8
48,3
49,4
50,6
51,4
52,8
53,0
54,5
55,6
56,2
57,1
58,6
59,3
60,5
61,6
62,1
63,7
64,4
65,8
66,0
67,1
68,9
69,8
70,9
71,8
72,3
73,3
74,8
75,8
76,3
77,3
78,4
79,3
80,3
81,5
82,7
83,1
84,0
85,8
86,6
87,4
88,2
89,6
90,9
91,2
92,8
93,6
94,6
95,4
96,4
97,3
98,6
99,4
100,4
101,8
102,9
103,9
104,3
105,1
106,6
107,8
108,3
109,0
110,8
111,0
112,8
113,4
114,7
115,1
116,7
117,1
118,1
119,2
120,0
121,2
122,7
123,5
124,9
125,6
126,3
127,9
128,7
129,5
130,7
131,5
132,8
133,9
134,0
135,8
136,8
137,3
138,1
139,8
140,8
141,5
142,8
143,4
144,5
145,3
146,6
147,7
148,6
149,5
150,9
151,9
152,3
153,5
154,6
155,5
156,3
157,7
158,5
159,7
160,8
161,3
162,9
163,9
164,3
165,1
166,5
167,7
168,8
169,2
170,8
171,3
172,7
173,8
174,9
175,1
176,8
177,7
178,5
179,1
180,5
181,4
182,9
183,2
184,0
185,8
186,6
187,8
188,1
189,6
190,0
191,9
192,7
193,7
194,8
195,8
196,6
197,9
198,7
199,4
200,9
201,1
202,9
203,8
204,9
205,0
206,8
207,8
208,4
209,4
210,5
211,9
212,6
213,3
214,0
215,3
216,8
217,1
218,6
219,3
220,4
221,2
222,6
223,1
224,2
225,2
226,4
227,9
228,8
229,7
230,4
231,8
232,4
233,9
234,4
235,7
236,2
237,5
238,8
239,8
240,4
241,3
242,6
243,2
244,9
245,2
246,5
247,8
248,8
249,9
250,5
251,8
252,4
253,1
254,6
255,8
256,9
257,0
258,1
259,4
260,8
261,2
262,5
263,2
264,5
265,7
266,2
267,6
268,3
269,3
270,1
271,6
272,8
273,6
274,3
275,8
276,8
277,9
278,2
279,8
280,4
281,0
282,2
283,2
284,5
285,5
286,2
287,7
288,7
289,2
290,0
291,7
292,6
293,7
294,6
295,9
296,8
297,8
298,6
299,3
300,3
301,9
302,9
303,0
304,6
305,4
306,3
307,7
308,1
309,4
310,5
311,0
312,5
313,4
314,0
315,6
316,2
317,2
318,4
319,1
320,8
321,9
322,1
323,4
324,0
325,8
326,7
327,6
328,1
329,5
330,6
331,6
332,3
333,1
334,3
335,8
336,9
337,8
338,1
339,6
340,4
341,3
342,3
343,1
344,6
345,9
346,9
347,0
348,2
349,0
350,5
351,2
352,7
353,7
354,2
355,5
356,8
357,3
358,9
359,6
360,8
361,3
362,6
363,5
364,2
365,9
366,2
367,3
368,8
369,1
370,0
371,4
372,3
373,4
374,9
375,7
376,0
377,9
378,5
379,3
380,7
381,3
382,5
383,5
384,5
385,2
386,9
387,6
388,4
389,5
390,6
391,1
392,4
393,9
394,9
395,9
396,1
397,1
398,1
399,6
400,3
401,9
402,4
403,6
404,1
405,1
406,1
407,3
408,3
409,8
410,5
411,3
412,4
413,0
414,1
415,5
416,5
417,1
418,1
419,3
420,5
421,0
422,6
423,4
424,5
425,4
426,1
427,0
428,7
429,9
430,7
431,4
432,8
433,6
434,3
435,0
436,1
437,8
438,9
439,2
440,5
441,8
442,7
443,7
444,7
445,4
446,7
447,1
448,3
449,5
450,0
451,9
452,9
453,0
454,4
455,0
456,9
457,5
458,5
459,2
460,9
461,4
462,4
463,5
464,8
465,5
466,1
467,6
468,1
469,4
470,1
471,1
472,6
473,9
474,2
475,9
476,2
477,4
478,9
479,1
480,8
481,4
482,8
483,4
484,2
485,7
486,9
487,7
488,0
489,2
490,7
491,4
492,6
493,2
494,7
495,3
496,6
497,2
498,3
499,8
500,0
501,8
502,3
503,6
504,9
505,1
506,0
507,8
508,8
509,9
510,5
511,7
512,8
513,8
514,0
515,3
516,3
517,3
518,7
519,1
520,5
521,9
522,9
523,6
524,4
525,7
526,1
527,0
528,1
529,1
530,7
531,8
532,5
533,3
534,8
535,9
536,2
537,6
538,5
539,9
540,3
541,3
542,2
543,8
544,2
545,8
546,3
547,6
548,6
549,2
550,1
551,1
552,3
553,8
554,5
555,2
556,0
557,7
558,3
559,9
560,2
561,6
562,3
563,8
564,1
565,2
566,3
567,6
568,1
569,4
570,6
571,3
572,3
573,2
574,6
575,9
576,9
577,8
578,6
579,4
580,3
581,5
582,1
583,5
584,6
585,7
586,1
587,7
588,3
589,8
590,0
591,8
592,8
593,7
594,3
595,2
596,0
597,8
598,6
599,3
600,2
601,2
602,1
603,7
604,1
605,8
606,3
607,8
608,5
609,3
610,4
611,7
612,8
613,8
614,5
