id,label
6163,0.998916
4466,0.999277
11057,0.999333
2443,0.013313
11156,0.030423
2927,0.999092
1021,0.275123
9158,0.993622
2751,0.999350
5782,0.999398
4453,0.027743
2236,0.960814
3110,0.998923
3365,0.793854
9414,0.999344
6928,0.999455
10913,0.015734
9873,0.999374
4830,0.021360
1418,0.010097
8058,0.999469
6179,0.010449
10708,0.148308
5700,0.999457
3084,0.009927
4695,0.014300
7539,0.060741
2533,0.999461
5343,0.999352
10709,0.999418
8704,0.009076
8699,0.994169
11988,0.096355
6520,0.010288
10752,0.981500
5993,0.998248
7620,0.075462
913,0.998998
866,0.999461
976,0.013088
5871,0.121695
6968,0.013245
10936,0.998901
4516,0.999447
212,0.997884
9029,0.956943
2174,0.999419
10945,0.039804
5101,0.999447
6632,0.995722
5985,0.999373
6472,0.256375
504,0.009742
6966,0.049732
4422,0.999365
5953,0.010128
1681,0.009346
2306,0.999189
4753,0.017815
7812,0.999167
11484,0.019092
3955,0.999447
12275,0.999475
450,0.999344
9210,0.009320
7092,0.013576
44,0.999254
12102,0.011270
11847,0.010471
6828,0.997105
2403,0.998544
1106,0.999248
4843,0.942834
2867,0.999370
1356,0.999417
6244,0.999294
7301,0.013525
4715,0.999234
7624,0.010544
5093,0.375132
546,0.013637
3283,0.013025
10587,0.999357
878,0.991274
10110,0.999090
4258,0.999399
4426,0.999450
8344,0.999285
9099,0.999388
9839,0.998887
1299,0.011019
7200,0.999279
9181,0.999318
10757,0.010564
4804,0.994590
4393,0.998837
3806,0.999332
6643,0.999243
918,0.998832
9648,0.022463
4099,0.999213
1333,0.999448
4398,0.009588
971,0.993436
1879,0.009232
4014,0.038290
3265,0.013588
8645,0.998289
1171,0.014037
3120,0.999023
374,0.012239
2837,0.009411
7593,0.013950
3552,0.999169
8556,0.999034
1625,0.993982
9638,0.043962
1910,0.999438
498,0.998982
10010,0.999459
1041,0.024247
9658,0.010927
9767,0.019448
542,0.999394
3631,0.997663
5927,0.009183
10060,0.999304
2291,0.999397
7808,0.012028
5180,0.998902
3372,0.999416
5694,0.998782
3554,0.999452
2606,0.983348
4888,0.012298
3723,0.013696
6829,0.010380
8751,0.009743
8518,0.999166
12223,0.013739
3944,0.020265
11881,0.084011
9281,0.999003
6481,0.995093
9275,0.999457
6900,0.009679
12379,0.999396
1457,0.999344
5239,0.999401
3830,0.010435
11742,0.010049
1792,0.010672
559,0.999448
6034,0.012936
5448,0.999069
2409,0.999399
5667,0.999282
1261,0.999346
8859,0.012358
2455,0.014611
9758,0.999467
12467,0.050236
10348,0.983118
4211,0.010833
8791,0.992974
3958,0.015274
1150,0.014214
11335,0.999447
775,0.009861
1434,0.999470
9741,0.010544
5263,0.009385
2886,0.010828
8862,0.999305
535,0.014468
8280,0.999445
7993,0.999014
6308,0.020689
6670,0.999045
12287,0.999365
4321,0.743606
1187,0.010772
2653,0.012602
8475,0.010466
4319,0.999388
11766,0.999415
12093,0.017172
6728,0.999243
6578,0.013378
7197,0.009676
8691,0.994285
4862,0.998691
698,0.009479
4613,0.010700
3602,0.010198
5819,0.993785
3348,0.009374
8878,0.999238
473,0.999341
5664,0.009583
9211,0.013068
1530,0.999337
8651,0.999351
8973,0.994497
7775,0.999421
3058,0.130016
8702,0.706001
11675,0.010488
1738,0.009570
6609,0.778811
11341,0.999213
9698,0.998736
9513,0.998347
4986,0.999436
3478,0.999454
5143,0.997444
2052,0.998131
12082,0.995852
9326,0.999224
5917,0.999445
9905,0.010307
397,0.999447
8210,0.011154
1663,0.330581
1665,0.011159
11247,0.999387
5925,0.999449
12001,0.999310
4656,0.999111
362,0.014676
5307,0.999107
825,0.016404
2065,0.999211
11876,0.014200
10195,0.999230
7431,0.999461
110,0.999382
9567,0.999431
7480,0.344158
2816,0.084568
8584,0.015601
11338,0.013397
7448,0.999446
10180,0.033303
10382,0.011619
5761,0.010054
2431,0.999220
3674,0.998494
4928,0.010253
9178,0.013038
7814,0.998080
12113,0.999447
3536,0.999228
2828,0.013034
4759,0.017507
2508,0.016670
9194,0.010343
11175,0.999246
8875,0.009997
7493,0.999471
838,0.022295
2697,0.999458
10192,0.997864
7688,0.010413
3389,0.011374
10260,0.998571
5482,0.063437
9459,0.359477
5555,0.999380
9883,0.009210
4214,0.010749
5731,0.440857
2092,0.999061
4625,0.136963
7421,0.998711
9307,0.012107
3577,0.009311
8552,0.794506
6236,0.999450
3385,0.999242
7012,0.010273
3469,0.998427
7300,0.999446
12219,0.991187
6025,0.991543
7807,0.999458
5991,0.024121
8277,0.009635
2579,0.998667
9280,0.999164
2193,0.789544
4424,0.999370
5581,0.999308
736,0.999047
2682,0.997263
5861,0.009702
896,0.024797
4541,0.999326
7613,0.999321
9534,0.999439
4747,0.997549
10145,0.013422
10967,0.021773
1354,0.980523
7507,0.032554
3423,0.019979
5786,0.009966
2871,0.999376
1040,0.999385
10255,0.999250
6691,0.010126
7062,0.017192
3450,0.102739
2713,0.494415
2648,0.999439
10778,0.010438
10028,0.012301
10003,0.999162
5559,0.998896
6589,0.999393
4473,0.999426
551,0.044343
3039,0.999010
7160,0.009341
2371,0.009595
809,0.999353
6306,0.999173
11635,0.999290
341,0.020964
6356,0.986493
10019,0.008895
11499,0.013418
3387,0.009692
850,0.009736
2215,0.999444
10897,0.977498
5023,0.016117
11841,0.999279
5538,0.022991
3349,0.012795
10250,0.013965
1867,0.013302
9501,0.999144
2903,0.337989
6341,0.999360
2733,0.016319
8142,0.997028
10829,0.999458
10576,0.013966
10450,0.010620
1508,0.999301
7271,0.999145
1637,0.999418
447,0.010359
9058,0.067166
6547,0.010109
5796,0.999276
9664,0.998974
2657,0.027149
10481,0.013903
789,0.999424
4964,0.012706
8247,0.016758
8226,0.010934
2909,0.011244
4979,0.999188
11321,0.999411
7396,0.010117
4032,0.999303
6205,0.015046
10870,0.033301
3772,0.999305
12083,0.014629
4290,0.999470
8201,0.999240
5864,0.702027
10233,0.999134
712,0.997336
2272,0.999137
9300,0.998687
5550,0.999165
4721,0.548806
10396,0.999150
4172,0.023456
6590,0.999258
10341,0.012816
11241,0.997910
8896,0.010043
12335,0.016853
9054,0.999367
7404,0.999238
10579,0.956063
4154,0.010503
7806,0.009465
10676,0.312353
728,0.009291
2661,0.999274
2643,0.995055
948,0.009207
9344,0.999452
3643,0.089749
12290,0.999446
2815,0.009853
1822,0.010294
54,0.039093
653,0.035973
1384,0.985928
1537,0.999183
8818,0.999404
9948,0.018443
11951,0.999287
3420,0.999454
8159,0.983330
2074,0.016095
2325,0.999240
4988,0.999404
4925,0.012102
7067,0.010303
3319,0.480594
8715,0.998962
2986,0.013562
8007,0.020400
6883,0.993296
3308,0.999333
10112,0.010258
6414,0.011728
9721,0.010077
5185,0.018353
10951,0.999434
8614,0.034545
5922,0.998789
4642,0.998200
12260,0.997859
1907,0.126304
4978,0.014959
12153,0.999274
3899,0.999381
10362,0.016584
2945,0.999438
6644,0.018446
7427,0.997969
956,0.999368
2473,0.076898
3688,0.999038
5657,0.015116
4464,0.999336
1404,0.270826
8241,0.013945
812,0.999415
12181,0.016993
11546,0.022744
3614,0.013238
9761,0.012034
4112,0.012329
6697,0.011814
8769,0.069646
4385,0.999446
9482,0.015465
2869,0.030834
11800,0.085017
3500,0.998784
5095,0.024368
7479,0.999465
2104,0.998909
7014,0.011970
5212,0.997905
2601,0.403064
8265,0.041963
7051,0.999351
8435,0.009822
4199,0.999408
6268,0.010573
3732,0.072950
1730,0.999373
1687,0.999219
3427,0.998400
7942,0.012145
4887,0.998224
6646,0.986859
3696,0.012253
1923,0.009277
8175,0.032141
5708,0.996953
7019,0.021685
58,0.009541
1791,0.998944
3543,0.025007
11757,0.999355
7644,0.999305
6066,0.999127
11345,0.011869
4190,0.999132
3282,0.010980
8127,0.999434
9239,0.721792
5909,0.018430
1627,0.019212
4551,0.999445
1897,0.012082
4931,0.999108
6232,0.998998
1357,0.015337
5349,0.999303
4970,0.009720
9952,0.023899
5066,0.996981
9106,0.997381
282,0.999410
5970,0.999417
11022,0.020005
4000,0.012638
7533,0.010811
5331,0.998685
1221,0.041374
4975,0.010404
2559,0.999457
12338,0.025044
1667,0.999385
9597,0.758572
994,0.009662
7193,0.789060
5105,0.025597
7619,0.009311
7392,0.999425
11082,0.010077
6095,0.191363
12087,0.999442
6856,0.999313
7964,0.997541
10006,0.009093
10201,0.010277
5356,0.039804
5932,0.010339
5898,0.999414
2585,0.009539
9680,0.999102
1184,0.999108
5582,0.010887
10906,0.033976
3386,0.010454
12122,0.999293
4048,0.009985
8329,0.030799
7247,0.997572
4411,0.999452
10080,0.999456
10866,0.997926
12248,0.999168
3761,0.999358
1620,0.999272
10880,0.016935
10431,0.011640
5841,0.018534
5530,0.010765
1551,0.010541
4905,0.013561
3754,0.999387
946,0.999367
9628,0.009349
9440,0.017781
4785,0.029519
9140,0.999095
155,0.997683
4771,0.998707
3719,0.999316
8906,0.010208
1981,0.999048
6683,0.010436
6737,0.999463
12456,0.991965
5789,0.999439
7777,0.009295
9598,0.998335
302,0.010640
6567,0.999481
6922,0.018213
7110,0.998406
4718,0.999439
6286,0.010764
10346,0.015828
3996,0.997515
10949,0.017110
8628,0.999328
2105,0.010504
3608,0.999150
2968,0.009625
1795,0.019238
11234,0.009573
5371,0.999411
3733,0.009702
2333,0.999327
11383,0.999329
10842,0.033814
2002,0.999424
5632,0.016317
8460,0.055872
1986,0.998778
11688,0.999458
2429,0.073395
8888,0.999379
6083,0.010362
8672,0.998943
2055,0.999451
10316,0.996790
529,0.016470
5914,0.010047
3346,0.480524
11213,0.999205
4120,0.014206
1320,0.076105
2140,0.800001
5959,0.909938
6999,0.999429
11001,0.999426
2768,0.997224
4758,0.012457
4065,0.115835
10667,0.999312
8267,0.999037
3605,0.010299
5676,0.996228
8327,0.999423
7949,0.999076
2963,0.017661
1800,0.999431
6312,0.795992
3366,0.998905
7566,0.009488
9678,0.999229
5472,0.014430
5743,0.010962
3526,0.997526
10383,0.014928
7045,0.010309
1653,0.999433
8790,0.252992
4798,0.061280
3632,0.982074
1805,0.009523
8856,0.016592
